seed,connection,weight,level,in_degree,out_degree,deg_c_a,deg_c_b,close_c_a,close_c_b,bet_c_a,bet_c_b,curr_flow_c_a,curr_flow_c_b,curr_flow_bet_centrality_a,curr_flow_bet_centrality_b,eigen_centrality_a,eigen_centrality_b,katz_centrality_a,katz_centrality_b,comm_bet_centrality_a,comm_bet_centrality_b,load_centrality_a,load_centrality_b,page_rank_a,page_rank_b,dispersion,comm,connectivity,edge_connectivity,avg_neighbor_degree_a,avg_neighbor_degree_b,in_deg_c_a,in_deg_c_b,out_deg_c_a,out_deg_c_b,edge_bet_cent,edge_curr_flow_bet_centrality,group_bet_cent,group_clo_cent,group_deg_cent,group_in_deg_cent,group_out_deg_cent,edge_load_cent,simrank_similarity,volume,depth_a,depth_b
2,11-12,0.001946503529325128,3,1,1,0.09090909090909093,0.09090909090909093,0.4125,0.4125,0.017045454545454544,0.02282196969696969,0.042281271309325616,0.042122678687874095,0.05556154455981136,0.06296597826098266,0.1263843924768642,0.11083824544782532,0.1474665139137868,0.14589854860878734,0.052831885528051285,0.05200620497787525,0.017403198653198653,0.02385574494949495,0.02112748966721594,0.021495770208036825,0.0,3.345586822031902,3,3,5.666666666666668,5.666666666666668,0.060606060606060615,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.003119429590017825,0.028212494730365963,0.01868279569892473,0.463768115942029,0.125,0.0625,0.0625,51.25,0.14783129052272112,6,1,2
2,1-17,0.0018069163197651503,3,1,1,0.24242424242424246,0.09090909090909093,0.4852941176470588,0.4177215189873418,0.15733102125147586,0.013952840089203724,0.06235471229595045,0.04344343511542287,0.21996096808149046,0.053965173016282564,0.2301720295783816,0.13492030277628636,0.21864841364533374,0.15120204419489874,0.2464094589088409,0.06268147266175847,0.1545415088383838,0.013617950336700338,0.052652042610935534,0.020876651906101197,0.0,6.51356191067316,3,3,3.875,6.666666666666668,0.21212121212121213,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.002896613190730837,0.02797655139382248,0.15331810326770004,0.5161290322580645,0.28125,0.21875,0.0625,63.86666666666667,0.14825747307791975,11,1,2
2,2-17,0.0018364188726991415,3,1,1,0.18181818181818185,0.09090909090909093,0.4647887323943662,0.4177215189873418,0.06786564918667193,0.013952840089203724,0.05857033012283985,0.04344343511542287,0.13040052192395413,0.053965173016282564,0.21721986089392534,0.13492030277628636,0.19506163085265046,0.15120204419489874,0.1576952670009732,0.06268147266175847,0.0686908143939394,0.013617950336700338,0.03803127274462193,0.020876651906101197,0.0,5.47367073644442,3,3,4.666666666666667,6.666666666666668,0.15151515151515152,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.002896613190730837,0.028844408700405125,0.05937445451054321,0.5161290322580645,0.21875,0.15625,0.0625,65.78333333333333,0.14313303498828062,9,1,2
2,4-19,0.0019029541872441766,3,1,2,0.060606060606060615,0.18181818181818185,0.3882352941176471,0.4647887323943662,0.0040088383838383845,0.07877291584677946,0.033934356409352336,0.05820351268305636,0.029239755065588638,0.1427546539311953,0.09032908341253444,0.2098522355914223,0.13169588735071694,0.19335529358166487,0.029312182398952294,0.15710152460754756,0.003898358585858585,0.07893781565656564,0.015489050907394547,0.03870406216587742,0.0,4.144482916115386,2,2,7.0,4.5,0.030303030303030307,0.060606060606060615,0.030303030303030307,0.12121212121212123,0.009581105169340465,0.029974088399603145,0.053865120094958786,0.4848484848484849,0.1875,0.0625,0.125,61.41666666666667,0.14309282879692078,8,2,3
2,7-19,0.0017671219538897274,3,1,2,0.15151515151515152,0.18181818181818185,0.44,0.4647887323943662,0.04937319624819625,0.07877291584677946,0.054570141288975665,0.05820351268305636,0.10248820949956916,0.1427546539311953,0.1973721201617364,0.2098522355914223,0.18144598427309444,0.19335529358166487,0.11833759660900788,0.15710152460754756,0.04985795454545453,0.07893781565656564,0.031720951958068365,0.03870406216587742,0.0,6.853353682881035,5,5,5.2,4.5,0.12121212121212123,0.060606060606060615,0.030303030303030307,0.12121212121212123,0.006238859180035651,0.02946030941502532,0.09950076804915513,0.5333333333333333,0.28125,0.15625,0.125,79.58333333333334,0.15502843220181348,11,3,3
2,17-19,0.0018970428500324488,3,2,2,0.09090909090909093,0.18181818181818185,0.4177215189873418,0.4647887323943662,0.013952840089203724,0.07877291584677946,0.04344343511542287,0.05820351268305636,0.053965173016282564,0.1427546539311953,0.13492030277628636,0.2098522355914223,0.15120204419489874,0.19335529358166487,0.06268147266175847,0.15710152460754756,0.013617950336700338,0.07893781565656564,0.020876651906101197,0.03870406216587742,0.0,5.015069303151738,3,3,6.666666666666668,4.5,0.030303030303030307,0.060606060606060615,0.060606060606060615,0.12121212121212123,0.011140819964349376,0.028394212922054986,0.06525712191034769,0.5079365079365079,0.21875,0.0625,0.15625,68.41666666666666,0.1444998610636446,9,2,3
2,18-19,0.0018653061706572769,3,1,2,0.12121212121212123,0.18181818181818185,0.42857142857142855,0.4647887323943662,0.029222726452840086,0.07877291584677946,0.04905810587701999,0.05820351268305636,0.08091747879271337,0.1427546539311953,0.14351886913454326,0.2098522355914223,0.16140697825731104,0.19335529358166487,0.07555587574339619,0.15710152460754756,0.029632260101010093,0.07893781565656564,0.02671039351982664,0.03870406216587742,0.0,5.395743751452118,4,4,5.0,4.5,0.09090909090909093,0.060606060606060615,0.030303030303030307,0.12121212121212123,0.009135472370766487,0.0296388659192847,0.07939282659544758,0.5245901639344263,0.25,0.125,0.125,78.66666666666667,0.14732159877240647,10,2,3
2,8-20,0.0005268402746878563,3,1,3,0.12121212121212123,0.21212121212121213,0.3975903614457832,0.4782608695652174,0.016015266299357206,0.08655098058507148,0.04792035190380947,0.06189930868249674,0.06936193483062117,0.148242599451331,0.16624331357770442,0.2727554716634961,0.16400521546154934,0.2149316217530093,0.07301065717889374,0.2038794679650044,0.016173453282828282,0.08570733375420876,0.026267788925075617,0.0430072111659573,0.0,8.701457087698008,4,4,5.25,4.857142857142857,0.09090909090909093,0.09090909090909093,0.030303030303030307,0.12121212121212123,0.004901960784313725,0.024378994162150763,0.0826056503979891,0.5,0.25,0.125,0.125,61.29166666666666,0.19412463300521385,11,3,2
