,seed,connection,weight,level,in_degree,out_degree,deg_c_a,deg_c_b,close_c_a,close_c_b,bet_c_a,bet_c_b,curr_flow_c_a,curr_flow_c_b,curr_flow_bet_centrality_a,curr_flow_bet_centrality_b,eigen_centrality_a,eigen_centrality_b,katz_centrality_a,katz_centrality_b,comm_bet_centrality_a,comm_bet_centrality_b,load_centrality_a,load_centrality_b,page_rank_a,page_rank_b,dispersion,comm,connectivity,edge_connectivity,avg_neighbor_degree_a,avg_neighbor_degree_b,in_deg_c_a,in_deg_c_b,out_deg_c_a,out_deg_c_b,edge_bet_cent,edge_curr_flow_bet_centrality,group_bet_cent,group_clo_cent,group_deg_cent,group_in_deg_cent,group_out_deg_cent,edge_load_cent,simrank_similarity,volume,depth_a,depth_b
54,7,30-32,0.06343796583788887,1,4,1,0.18181818181818185,0.24242424242424246,0.4459459459459459,0.5076923076923077,0.123723162359526,0.20359664010232195,0.0516638052189566,0.058732370364758126,0.1800444928910621,0.23788568045657435,0.1735651285424521,0.3151827312140429,0.19505284002370335,0.2378017599823981,0.1818397180939205,0.3263609587809991,0.12366503577441075,0.19910432449494955,0.04165418898958667,0.053087313013382015,0.0,9.020673305160352,6,6,4.166666666666667,4.5,0.060606060606060615,0.030303030303030307,0.12121212121212123,0.21212121212121213,0.015597147950089124,0.03659784924972214,0.2628252571800958,0.5925925925925926,0.34375,0.0625,0.3125,157.06666666666666,0.17008901232946333,14,3,2
55,7,31-32,0.05264735394652938,1,3,1,0.12121212121212123,0.24242424242424246,0.4177215189873418,0.5076923076923077,0.029586790524290526,0.20359664010232195,0.04446648769103941,0.058732370364758126,0.09264564626468393,0.23788568045657435,0.17784956244618408,0.3151827312140429,0.17420869386027424,0.2378017599823981,0.1079595286171902,0.3263609587809991,0.02956912878787878,0.19910432449494955,0.027618088085920083,0.053087313013382015,0.5,9.860230991574657,4,4,6.0,4.5,0.030303030303030307,0.030303030303030307,0.09090909090909093,0.21212121212121213,0.0053475935828877,0.031063940771956924,0.21433735395428935,0.5079365079365079,0.25,0.03125,0.21875,65.91666666666666,0.2247482581473706,12,2,2
56,7,26-33,1.0,1,3,0,0.12121212121212123,0.060606060606060615,0.3707865168539326,0.36666666666666653,0.03006034369670733,0.015454463465827102,0.04175120054976753,0.031216436344305362,0.10514186440062696,0.04078027975334328,0.10570812896423927,0.08808005092162245,0.15716794730014064,0.13401907287446174,0.05844994183439455,0.029988548124839733,0.03253103956228956,0.0155881734006734,0.029635703975488762,0.01634939893480757,0.0,2.789802256356178,2,2,3.5,6.0,0.030303030303030307,0.0,0.09090909090909093,0.060606060606060615,0.00564468211527035,0.034375693566428174,0.019648530233207652,0.4155844155844156,0.125,0.0,0.125,63.03333333333333,0.1592036727553249,6,2,3
57,7,32-33,1.0,1,7,0,0.24242424242424246,0.060606060606060615,0.5076923076923077,0.36666666666666653,0.20359664010232195,0.015454463465827102,0.058732370364758126,0.031216436344305362,0.23788568045657435,0.04078027975334328,0.3151827312140429,0.08808005092162245,0.2378017599823981,0.13401907287446174,0.3263609587809991,0.029988548124839733,0.19910432449494955,0.0155881734006734,0.053087313013382015,0.01634939893480757,0.0,4.884640083402549,2,2,4.5,6.0,0.030303030303030307,0.0,0.21212121212121213,0.060606060606060615,0.023767082590612006,0.037654586186915084,0.166583097681888,0.5245901639344263,0.25,0.0,0.25,103.36666666666667,0.15014683638259185,10,2,3
58,7,1-4,0.07865929583473424,2,1,1,0.12121212121212123,0.09090909090909093,0.42857142857142855,0.3882352941176471,0.03271371936144663,0.012752525252525251,0.04941017778565679,0.04292182839124991,0.07941696458744016,0.052287424984314115,0.16625988607142336,0.12553456245431954,0.16504231522968685,0.1464451478716641,0.08652792551829312,0.04531727338980705,0.03260206228956228,0.012631523569023568,0.026813984340696144,0.02085637946451949,0.0,4.414050546489802,3,3,5.5,5.333333333333333,0.09090909090909093,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.0033422459893048127,0.02507008047751195,0.029805107526881727,0.4571428571428571,0.15625,0.09375,0.0625,51.75,0.15526672298000008,7,1,2
59,7,3-4,0.05786307510690244,2,1,1,0.18181818181818185,0.09090909090909093,0.4782608695652174,0.3882352941176471,0.062462253655435465,0.012752525252525251,0.060068980128241085,0.04292182839124991,0.11321809506301313,0.052287424984314115,0.2736194640574551,0.12553456245431954,0.20580005951908187,0.1464451478716641,0.1872257484970958,0.04531727338980705,0.061733217592592586,0.012631523569023568,0.03699578963381086,0.02085637946451949,0.0,6.001215554933452,3,3,5.666666666666668,5.333333333333333,0.15151515151515152,0.030303030303030307,0.030303030303030307,0.060606060606060615,0.004901960784313725,0.027862386706364352,0.04547898338220917,0.5079365079365079,0.21875,0.15625,0.0625,65.75,0.16251035407560302,9,1,2
60,7,5-11,0.03992381979726019,2,1,2,0.12121212121212123,0.15151515151515152,0.4520547945205479,0.4230769230769231,0.03123252484047939,0.04221380471380472,0.051683477746912655,0.054607985586688536,0.0701445604299946,0.10711526371611804,0.1932088421097051,0.16892019734725058,0.17278925880509194,0.17585665188119856,0.10792810946575053,0.10577647992801938,0.03012810395622895,0.04171796085858587,0.02587918510252779,0.03265408592548548,0.0,5.919544220629716,4,4,6.75,4.4,0.09090909090909093,0.060606060606060615,0.030303030303030307,0.09090909090909093,0.0038621509209744507,0.024460618157274,0.0547429944607364,0.5079365079365079,0.21875,0.125,0.09375,58.66666666666667,0.14499045081033615,9,1,2
61,7,6-11,0.07889050179010777,2,1,2,0.09090909090909093,0.15151515151515152,0.4177215189873418,0.4230769230769231,0.014438050375550375,0.04221380471380472,0.044000059825704235,0.054607985586688536,0.05009462301145054,0.10711526371611804,0.13303927396332527,0.16892019734725058,0.15082716565627974,0.17585665188119856,0.05816241580489569,0.10577647992801938,0.014695128367003362,0.04171796085858587,0.020745048890613137,0.03265408592548548,0.0,4.7825993257526935,3,3,6.666666666666668,4.4,0.060606060606060615,0.060606060606060615,0.030303030303030307,0.09090909090909093,0.0066844919786096255,0.02502350957913304,0.03925851254480287,0.4776119402985074,0.1875,0.09375,0.09375,56.29166666666666,0.14304047059352828,8,1,2
62,7,9-11,0.00728838921058295,2,1,2,0.09090909090909093,0.15151515151515152,0.3928571428571429,0.4230769230769231,0.010125880012243649,0.04221380471380472,0.04297083909720057,0.054607985586688536,0.04930304952399471,0.10711526371611804,0.11065621669463646,0.16892019734725058,0.14612943813267054,0.17585665188119856,0.04566688041979661,0.10577647992801938,0.008847590488215484,0.04171796085858587,0.020925724760244017,0.03265408592548548,0.0,4.697065345319638,3,3,5.666666666666668,4.4,0.060606060606060615,0.060606060606060615,0.030303030303030307,0.09090909090909093,0.0089126559714795,0.027069478512482148,0.03272136689475399,0.4571428571428571,0.1875,0.09375,0.09375,55.54166666666666,0.13477469515494786,8,3,2
63,7,1-13,0.08955074915094884,2,1,4,0.12121212121212123,0.21212121212121213,0.42857142857142855,0.4782608695652174,0.03271371936144663,0.09042375974194154,0.04941017778565679,0.06402802984013671,0.07941696458744016,0.1449561983788576,0.16625988607142336,0.2925014300064195,0.16504231522968685,0.21853644464002614,0.08652792551829312,0.22017623882817786,0.03260206228956228,0.08851799242424244,0.026813984340696144,0.0425806610462284,0.0,7.748315121959671,4,4,5.5,5.0,0.09090909090909093,0.12121212121212123,0.030303030303030307,0.09090909090909093,0.009432560903149137,0.028966798960837644,0.08924480537383768,0.5423728813559322,0.28125,0.1875,0.09375,77.75,0.15771211349818573,11,1,2
