epoch,accuracy,time
  1,30.880,282.4143249988556
  2,34.370,562.0960872173309
  3,46.210,841.9438102245331
  4,43.650,1121.7559554576874
  5,47.450,1401.5443756580353
  6,52.540,1683.7378635406494
  7,58.080,1963.6106958389282
  8,58.770,2243.2778429985046
  9,44.180,2522.6528730392456
 10,70.720,2802.6669590473175
 11,62.140,3081.949995279312
 12,65.590,3363.9405224323273
 13,71.580,3643.516436100006
 14,70.730,3922.931121826172
 15,76.070,4202.415797710419
 16,73.780,4481.708187580109
 17,77.600,4761.318165779114
 18,76.920,5040.769559621811
 19,73.150,5320.27871131897
 20,77.520,5599.7585418224335
 21,74.780,5881.407857179642
 22,74.100,6160.536629199982
 23,45.540,6440.0005671978
 24,75.210,6721.771981477737
 25,79.770,7001.853705883026
 26,79.310,7281.194982767105
 27,82.530,7561.020076036453
 28,79.140,7840.180978298187
 29,80.310,8119.6882417202
 30,83.890,8399.203615188599
 31,83.910,8678.880244255066
 32,84.620,8958.975135326385
 33,84.160,9238.2754509449
 34,84.310,9517.830078601837
 35,84.040,9797.933210372925
 36,84.740,10081.665505886078
 37,84.420,10361.61055970192
 38,84.710,10638.85934829712
 39,84.170,10915.697304010391
 40,84.590,11189.745196342468
 41,85.080,11462.504246473312
 42,83.940,11736.046938180923
 43,85.250,12009.74261879921
 44,84.850,12282.552244186401
 45,84.720,12556.050862312317
 46,85.580,12829.257074594498
 47,85.500,13101.56751203537
 48,85.470,13374.270542383194
 49,85.220,13646.263414382935
 50,85.570,13918.341086626053
