epoch,accuracy,time
1    ,11.990  ,79.92913174629211
2    ,19.160  ,163.0689721107483
3    ,21.540  ,245.40023374557495
4    ,23.660  ,328.0318477153778
5    ,32.550  ,410.6702425479889
6    ,34.170  ,492.8371596336365
7    ,37.490  ,575.7825756072998
8    ,36.250  ,657.8701438903809
9    ,42.610  ,740.3180623054504
10   ,44.670  ,823.7931973934174
11   ,40.840  ,906.1170954704285
12   ,47.160  ,988.7130651473999
13   ,48.110  ,1071.186675310135
14   ,50.690  ,1153.5081133842468
15   ,48.130  ,1235.8150877952576
16   ,52.290  ,1317.9875469207764
17   ,54.830  ,1399.9664402008057
18   ,51.790  ,1482.439872264862
19   ,55.220  ,1565.0135371685028
20   ,55.340  ,1646.7874643802643
21   ,56.060  ,1729.9966523647308
22   ,55.410  ,1812.3492074012756
23   ,57.510  ,1894.8019354343414
24   ,57.250  ,1976.3737077713013
25   ,57.300  ,2058.8691232204437
26   ,55.520  ,2141.4823713302612
27   ,57.410  ,2223.2223937511444
28   ,57.810  ,2305.163132429123
29   ,60.250  ,2387.2852098941803
30   ,64.220  ,2469.4445230960846
31   ,64.980  ,2552.589766740799
32   ,64.820  ,2634.833845615387
33   ,64.980  ,2717.6053524017334
34   ,65.020  ,2800.996591567993
35   ,65.340  ,2884.162940979004
36   ,65.480  ,2966.5266773700714
37   ,65.930  ,3048.7816586494446
38   ,65.700  ,3131.419760465622
39   ,65.630  ,3215.06574678421
40   ,66.080  ,3297.8517179489136
41   ,66.210  ,3380.6404116153717
42   ,66.210  ,3462.501263141632
43   ,66.260  ,3545.0758216381073
44   ,65.850  ,3626.703246116638
45   ,65.770  ,3709.2585155963898
46   ,65.610  ,3791.36523771286
47   ,66.130  ,3873.2974264621735
48   ,65.910  ,3955.0210525989532
49   ,65.980  ,4037.0104026794434
50   ,66.180  ,4119.665085554123
