epoch,accuracy,train_loss,train_acc,time
  1, 29.640, 2.080, 23.375,84.39087104797363
  2, 38.800, 1.831, 32.132,168.764986038208
  3, 43.290, 1.700, 37.520,253.36896562576294
  4, 41.130, 1.623, 40.915,337.6481671333313
  5, 48.090, 1.561, 43.262,422.34310960769653
  6, 47.920, 1.503, 45.589,506.6421113014221
  7, 51.610, 1.457, 47.688,591.3217670917511
  8, 55.100, 1.412, 49.428,675.7651481628418
  9, 55.480, 1.380, 50.597,760.5159778594971
 10, 55.400, 1.343, 52.320,844.8053600788116
 11, 56.530, 1.311, 53.187,929.4347825050354
 12, 58.690, 1.274, 54.728,1014.0446653366089
 13, 57.290, 1.254, 55.649,1098.2977361679077
 14, 59.390, 1.218, 56.827,1182.8647027015686
 15, 62.970, 1.193, 57.735,1267.3694360256195
 16, 60.590, 1.169, 58.669,1351.6336772441864
 17, 65.380, 1.145, 59.421,1436.430242061615
 18, 66.510, 1.114, 60.586,1520.9460105895996
 19, 64.910, 1.100, 61.260,1605.1578526496887
 20, 65.820, 1.077, 62.190,1689.3651201725006
 21, 67.800, 1.052, 62.980,1773.8092954158783
 22, 67.540, 1.037, 63.660,1858.1202335357666
 23, 67.920, 1.020, 64.397,1942.8230340480804
 24, 69.070, 0.999, 64.977,2027.3985896110535
 25, 69.870, 0.989, 65.552,2112.0039196014404
 26, 68.210, 0.971, 66.259,2196.2843277454376
 27, 70.680, 0.962, 66.148,2280.923020839691
 28, 70.690, 0.947, 66.952,2365.27108502388
 29, 71.680, 0.932, 67.589,2449.7815890312195
 30, 74.270, 0.849, 70.506,2534.455044031143
 31, 74.510, 0.825, 71.354,2619.0348646640778
 32, 74.900, 0.815, 71.642,2703.5469183921814
 33, 74.940, 0.807, 72.092,2788.273315668106
 34, 74.750, 0.803, 71.910,2872.3778023719788
 35, 75.230, 0.794, 72.331,2956.982767343521
 36, 74.630, 0.788, 72.444,3041.3183171749115
 37, 75.520, 0.794, 72.212,3125.9207389354706
 38, 75.540, 0.779, 72.784,3210.525626182556
 39, 75.080, 0.776, 72.807,3294.821769475937
 40, 75.700, 0.775, 72.988,3379.2578127384186
 41, 75.530, 0.770, 73.067,3463.5881769657135
 42, 75.870, 0.773, 72.899,63425.546291828156
 43, 75.520, 0.768, 72.932,63505.82065272331
 44, 76.020, 0.767, 73.159,63587.539467811584
 45, 75.650, 0.764, 73.097,63669.768597364426
 46, 76.070, 0.756, 73.617,63752.15065217018
 47, 75.690, 0.756, 73.599,63835.484833717346
 48, 76.120, 0.758, 73.734,63918.25691127777
 49, 76.240, 0.746, 73.860,64000.944635629654
 50, 76.200, 0.747, 73.750,64083.25226831436
