epoch,accuracy,time
1,44.550,1.332439661026
2,53.440,165.27993321418762
3,49.630,249.1206181049347
4,66.960,333.1728949546814
5,62.040,417.2229905128479
6,68.560,500.8941731452942
7,64.500,584.9400415420532
8,75.860,668.9200382232666
9,67.710,752.967681646347
10,70.300,836.8811075687408
11,74.530,920.9178102016449
12,75.120,1005.3211410045624
13,75.770,1088.879730463028
14,73.300,1172.6313762664795
15,45.540,1256.396740913391
16,78.450,1340.8161880970001
17,74.790,1424.7864179611206
18,77.690,1508.9250102043152
19,70.400,1593.274444103241
20,78.690,1677.5941960811615
21,67.160,1761.8371453285217
22,75.610,1846.0281536579132
23,77.880,1929.8032319545746
24,66.220,2013.5451412200928
25,74.240,2097.7105057239532
26,77.830,2181.762220621109
27,77.640,2265.6507556438446
28,70.840,2350.0150878429413
29,75.770,2434.412364721298
30,88.180,2518.828346967697
31,88.790,2603.2312977313995
32,89.190,2687.6272099018097
33,89.280,2772.1972584724426
34,89.230,2856.127593278885
35,89.650,2940.3970954418182
36,89.780,3024.7253415584564
37,89.750,3108.828291654587
38,89.920,3193.295803308487
39,90.100,3277.713855743408
40,88.700,3361.406588077545
41,89.700,3445.7225816249847
42,89.880,3529.7676866054535
43,90.220,3614.2558002471924
44,90.450,3698.955966234207
45,90.290,3782.495052576065
46,90.510,3866.863676548004
47,90.340,3950.947920322418
48,90.580,4035.306950569153
49,89.890,4119.754605054855
50,90.060,4204.1283757686615
51,90.750,4288.572087049484
52,90.550,4372.670833826065
53,89.630,4456.831372976303
54,89.030,4541.069730043411
55,89.050,4625.417018651962
56,89.710,4709.628786087036
57,89.910,4793.783483505249
58,90.560,4877.949982404709
59,89.770,4962.132022619247
60,91.700,5046.4067466259
61,91.990,5130.95211648941
62,92.070,5214.980342626572
63,91.920,5299.463359594345
64,92.150,5383.841059923172
65,92.320,5468.04124879837
66,92.190,5552.37273478508
67,92.260,5636.5942351818085
68,92.350,5721.178441762924
69,92.460,5805.762035369873
70,92.420,5889.961640357971
71,92.240,5973.871442317963
72,92.390,6058.270181655884
73,92.480,6142.695426225662
74,92.350,6226.579945087433
75,92.350,6310.968041181564
76,92.210,6395.326631307602
77,92.330,6479.4072296619415
78,92.450,6563.734445095062
79,92.200,6647.698626279831
80,92.620,6731.679386854172
81,92.490,6815.811788320541
82,92.540,6900.030910253525
83,92.540,6983.954426288605
84,92.360,7068.108379840851
85,92.430,7152.483455181122
86,92.500,7236.71209025383
87,92.390,7320.583255767822
88,92.450,7404.652131080627
89,92.340,7488.585765123367
90,92.480,7572.914297819138
91,92.670,7657.397422790527
92,92.540,7741.507806062698
93,92.490,7825.693972826004
94,92.520,7909.686799526215
95,92.630,7993.838790655136
96,92.550,8077.962400436401
97,92.520,8162.392031908035
98,92.390,8246.79761838913
99,92.480,8330.962378025055
100,92.520,8415.157594203949
