epoch,accuracy,train_loss,train_acc,time
  1, 39.300, 1.885, 29.961,246.19895672798157
  2, 50.340, 1.539, 43.318,492.44332933425903
  3, 58.320, 1.317, 52.366,736.7072460651398
  4, 61.680, 1.138, 59.319,981.7375073432922
  5, 62.440, 1.008, 64.470,1227.4557046890259
  6, 67.150, 0.915, 67.803,1472.1916110515594
  7, 72.130, 0.844, 70.323,1719.1124329566956
  8, 75.670, 0.766, 73.510,1963.6669158935547
  9, 77.560, 0.710, 75.573,2206.271891593933
 10, 76.670, 0.663, 77.241,2452.52477312088
 11, 77.680, 0.631, 78.303,2698.1426587104797
 12, 81.480, 0.597, 79.413,2958.28045630455
 13, 80.980, 0.576, 80.290,3252.4055695533752
 14, 81.060, 0.540, 81.629,3501.2849769592285
 15, 82.800, 0.527, 82.279,3749.844993829727
 16, 84.280, 0.513, 82.645,3994.5159385204315
 17, 81.850, 0.489, 83.316,4242.747972726822
 18, 85.630, 0.473, 83.958,4490.238741636276
 19, 84.250, 0.458, 84.580,4737.006499052048
 20, 85.370, 0.444, 85.026,4981.748804330826
 21, 85.640, 0.445, 84.903,5228.110812664032
 22, 84.900, 0.425, 85.692,5475.4306428432465
 23, 84.470, 0.418, 86.097,5720.787998199463
 24, 82.460, 0.408, 86.149,5965.632998466492
 25, 85.780, 0.401, 86.244,6211.657968044281
 26, 86.350, 0.387, 86.917,6457.303875923157
 27, 85.730, 0.383, 87.012,6731.536903381348
 28, 84.150, 0.373, 87.333,7008.80068063736
 29, 86.730, 0.369, 87.555,7252.257200717926
 30, 89.950, 0.287, 90.356,7498.195967435837
 31, 90.010, 0.256, 91.357,7742.616945266724
 32, 90.430, 0.243, 91.881,7987.877457618713
 33, 90.100, 0.235, 92.059,8234.194822788239
 34, 90.680, 0.232, 92.197,8479.556246995926
 35, 90.590, 0.223, 92.420,8725.10918545723
 36, 90.670, 0.220, 92.711,8969.586317777634
 37, 90.690, 0.215, 92.867,9215.079272270203
 38, 90.830, 0.213, 92.928,9460.092894077301
 39, 90.530, 0.207, 92.935,9707.26402592659
 40, 90.900, 0.207, 92.983,9953.043929100037
 41, 90.820, 0.202, 93.237,10200.133292913437
 42, 90.470, 0.203, 93.131,10479.741274118423
 43, 90.930, 0.199, 93.229,10751.424928426743
 44, 90.820, 0.198, 93.377,10996.688934326172
 45, 90.750, 0.194, 93.402,11242.22361254692
 46, 90.860, 0.192, 93.423,11485.389355421066
 47, 91.120, 0.188, 93.617,11732.29005765915
 48, 90.770, 0.188, 93.624,11974.030254125595
 49, 91.210, 0.185, 93.769,12221.073138713837
 50, 90.990, 0.180, 93.947,12468.124886274338
