epoch,accuracy,time
1,39.150,21.17497706413269
2,53.260,242.61519527435303
3,62.660,363.50338888168335
4,69.220,490.04336047172546
5,73.650,611.6456153392792
6,74.680,733.344642162323
7,69.620,854.8753576278687
8,72.100,975.846479177475
9,67.900,1097.344943523407
10,73.460,1219.0370557308197
11,70.770,1340.4564723968506
12,76.650,1463.004670381546
13,75.750,1583.6376826763153
14,70.940,1704.6080162525177
15,74.050,1824.9588031768799
16,74.440,1945.4744980335236
17,72.950,2066.1042091846466
18,71.720,2186.535594701767
19,72.650,2307.076001882553
20,70.660,2427.7500824928284
21,77.090,2548.638640165329
22,79.540,2671.673052549362
23,77.300,2796.768219232559
24,79.960,2918.825527191162
25,77.250,3039.541467189789
26,70.910,3159.848039150238
27,77.070,3280.275913000107
28,74.580,3401.707523584366
29,78.890,3522.0885393619537
30,87.600,3642.7847757339478
31,88.380,3762.672548055649
32,88.170,3882.574409008026
33,88.870,4003.534122943878
34,89.140,4125.083026170731
35,89.600,4246.7097272872925
36,89.690,4367.4048109054565
37,88.850,4487.292000055313
38,88.630,4611.81266784668
39,89.530,4734.093768358231
40,89.420,4854.913630723953
41,89.920,4976.057319641113
42,89.410,5096.699111223221
43,89.860,5217.955729007721
44,90.350,5337.883620500565
45,89.940,5458.810742855072
46,89.870,5580.048759460449
47,89.050,5700.005005598068
48,89.140,5820.0180077552795
49,89.650,5940.139088153839
50,90.290,6060.930068969727
51,89.660,6181.813834905624
52,90.450,6302.404737472534
53,90.170,6422.5480697155
54,89.040,6542.011627435684
55,90.310,6661.802656412125
56,88.970,6782.0331835746765
57,89.770,6907.75834941864
58,89.740,7029.41885638237
59,89.820,7150.674282312393
60,91.720,7271.088889598846
61,91.810,7391.552165985107
62,92.040,7512.130792617798
63,92.090,7632.983223438263
64,92.130,7754.054046154022
65,92.100,7875.48838353157
66,92.050,7995.936464309692
67,92.040,8116.576372385025
68,92.170,8236.294648647308
69,91.890,8357.03331708908
70,92.090,8477.749185085297
71,92.190,8598.136550188065
72,92.100,8721.10281252861
73,92.120,8845.52758550644
74,92.160,8966.918105840683
75,92.210,9087.741851568222
76,92.230,9207.592351675034
77,92.130,9328.35652089119
78,92.210,9447.997999668121
79,92.610,9569.534883975983
80,92.400,9690.15778875351
81,92.170,9810.338019132614
82,92.120,9930.923457145691
83,92.140,10051.233375310898
84,92.390,10171.942346334457
85,92.380,10293.130316495895
86,92.440,10413.80883693695
87,92.420,10535.074666500092
88,92.390,10655.336790084839
89,92.380,10776.534060001373
90,92.460,10895.98632979393
91,92.410,11020.739080429077
92,92.380,11141.77556347847
93,92.440,11261.534702777863
94,92.440,11381.838590860367
95,92.350,11502.181300401688
96,92.360,11622.80542254448
97,92.490,11743.948698282242
98,92.560,11864.074496984482
99,92.510,11985.831082820892
100,92.520,12106.606507778168
