epoch,accuracy,train_loss,train_acc,time
  1, 86.400, 0.601, 77.732,71.25499296188354
  2, 87.830, 0.347, 87.540,142.7591474056244
  3, 88.990, 0.293, 89.630,214.86016845703125
  4, 90.890, 0.264, 90.617,286.5500957965851
  5, 91.440, 0.250, 91.047,357.7231516838074
  6, 91.560, 0.231, 91.769,431.8794195652008
  7, 91.820, 0.222, 92.003,502.97225737571716
  8, 91.830, 0.212, 92.447,577.374653339386
  9, 91.930, 0.203, 92.842,648.3354060649872
 10, 92.400, 0.196, 92.985,720.6819379329681
 11, 92.030, 0.189, 93.380,792.9556646347046
 12, 92.160, 0.183, 93.462,864.8582465648651
 13, 92.930, 0.178, 93.721,937.6621687412262
 14, 91.830, 0.175, 93.746,1009.5685923099518
 15, 92.780, 0.167, 94.078,1082.7064516544342
 16, 92.420, 0.165, 94.099,1153.78937125206
 17, 92.270, 0.162, 94.232,1225.0889155864716
 18, 92.510, 0.157, 94.590,1296.2929844856262
 19, 92.890, 0.154, 94.590,1368.1685807704926
 20, 92.820, 0.154, 94.547,1441.0955667495728
 21, 92.890, 0.151, 94.688,1512.0997245311737
 22, 92.850, 0.148, 94.849,1584.3018884658813
 23, 93.130, 0.144, 94.998,1657.3755960464478
 24, 93.160, 0.143, 94.913,1730.7701439857483
 25, 93.220, 0.144, 94.929,1804.6592037677765
 26, 92.840, 0.140, 95.168,1875.6614408493042
 27, 93.160, 0.135, 95.216,1948.8770899772644
 28, 92.970, 0.135, 95.223,2019.9597702026367
 29, 93.160, 0.136, 95.233,2090.9667093753815
 30, 93.910, 0.096, 96.691,2163.729171514511
 31, 93.860, 0.083, 97.221,2235.1123552322388
 32, 94.020, 0.080, 97.349,2306.3354938030243
 33, 93.960, 0.074, 97.487,2378.0229806900024
 34, 93.910, 0.071, 97.558,2449.190428495407
 35, 93.860, 0.070, 97.695,2521.616408109665
 36, 93.900, 0.067, 97.740,2593.040121793747
 37, 94.000, 0.064, 97.903,2664.8600103855133
 38, 94.040, 0.063, 97.818,2736.4167578220367
 39, 94.010, 0.062, 97.955,2807.4302270412445
 40, 93.850, 0.059, 98.005,2878.2628803253174
 41, 93.850, 0.058, 98.007,2950.7333743572235
 42, 93.970, 0.056, 98.203,3021.7482981681824
 43, 94.010, 0.053, 98.305,3093.0002093315125
 44, 93.950, 0.053, 98.284,3163.9334614276886
 45, 93.930, 0.052, 98.274,3235.2604954242706
 46, 93.990, 0.051, 98.377,3306.2652094364166
 47, 94.010, 0.049, 98.382,3377.096939086914
 48, 94.000, 0.047, 98.426,3448.5358226299286
 49, 93.980, 0.045, 98.475,3520.6246995925903
 50, 94.120, 0.047, 98.434,3592.6469848155975
