epoch,accuracy,train_loss,train_acc,time
  1, 9.270, 4.112, 6.500,54.360774993896484
  2, 16.260, 3.679, 12.750,107.25725388526917
  3, 19.940, 3.421, 17.268,161.16981768608093
  4, 24.170, 3.220, 20.822,214.9435214996338
  5, 25.230, 3.054, 23.754,267.72916316986084
  6, 28.950, 2.879, 26.998,320.4714603424072
  7, 31.660, 2.727, 29.955,374.7875316143036
  8, 34.370, 2.586, 32.978,429.3124141693115
  9, 38.860, 2.447, 35.751,484.12670397758484
 10, 39.290, 2.339, 37.862,537.1965501308441
 11, 38.070, 2.231, 40.141,592.0965311527252
 12, 44.780, 2.145, 42.041,647.1631631851196
 13, 41.440, 2.073, 43.899,701.0279290676117
 14, 42.570, 1.997, 45.674,756.2912285327911
 15, 47.670, 1.943, 46.901,811.9073007106781
 16, 49.180, 1.883, 48.379,867.0217227935791
 17, 49.820, 1.832, 49.364,921.5954840183258
 18, 48.530, 1.789, 50.473,974.0783135890961
 19, 53.220, 1.749, 51.475,1027.8638424873352
 20, 49.470, 1.716, 52.217,1082.0108098983765
 21, 54.090, 1.677, 52.958,1136.5038590431213
 22, 52.950, 1.642, 54.081,1190.6709258556366
 23, 52.230, 1.616, 54.530,1244.6403350830078
 24, 54.810, 1.575, 55.764,1301.0073642730713
 25, 55.530, 1.553, 56.308,1355.9239387512207
 26, 54.230, 1.534, 56.795,1410.7526030540466
 27, 56.060, 1.495, 57.521,1467.0079174041748
 28, 57.140, 1.478, 57.991,1521.9718725681305
 29, 55.800, 1.454, 58.543,1577.0924909114838
 30, 62.660, 1.197, 64.966,1631.2268204689026
 31, 63.320, 1.121, 67.387,1685.8218030929565
 32, 63.430, 1.085, 68.200,1740.5747554302216
 33, 63.760, 1.063, 68.929,1795.3508806228638
 34, 63.400, 1.041, 69.172,1848.561423778534
 35, 64.260, 1.024, 69.598,1903.2507421970367
 36, 63.970, 1.011, 69.822,1958.2168769836426
 37, 63.730, 0.995, 70.405,2014.0829725265503
 38, 63.880, 0.985, 70.678,2067.1139993667603
 39, 64.330, 0.971, 71.081,2122.302791595459
 40, 64.290, 0.962, 70.958,2176.999393939972
 41, 64.620, 0.950, 71.474,2230.8557913303375
 42, 64.680, 0.937, 71.907,2284.0478439331055
 43, 64.160, 0.925, 72.117,2338.0763387680054
 44, 63.660, 0.915, 72.395,2391.0507893562317
 45, 64.370, 0.907, 72.533,2444.3743097782135
 46, 64.240, 0.902, 72.781,2497.618094444275
 47, 65.170, 0.891, 72.982,2552.7287278175354
 48, 64.830, 0.878, 73.392,2606.968252182007
 49, 64.750, 0.871, 73.443,2662.0266246795654
 50, 65.330, 0.863, 73.876,2717.0490708351135
